Pathway,z.score
Toll-like Receptor Signaling,1.604
PPAR Signaling,0.577
B Cell Activating Factor Signaling,0.277
JAK/Stat Signaling,0.2
4-1BB Signaling in T Lymphocytes,0
Fc Epsilon RI Signaling,0
Fcy Receptor-mediated Phagocytosis in Macrophages and Monocytes,0
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages,0
TNFR1 Signaling,0
IL-6 Signaling,-0.169
LPS-stimulated MAPK Signaling,-0.2
CCR5 Signaling in Macrophages,-0.302
TNFR2 Signaling,-0.333
GM-CSF Signaling,-0.447
IL-1 Signaling,-0.471
April Mediated Signaling,-0.535
B Cell Receptor Signaling,-0.775
CCR3 Signaling in Eosinophils,-0.894
PPARa/RXRa Activation,-1
Tec Kinase Signaling,-1.029
IL-2 Signaling,-1.069
CXCR4 Signaling,-1.093
TGF-B Signaling,-1.134
FcyRIIB Signaling in B Lymphocytes,-1.155
NF-kB Activation by Viruses,-1.225
PKCtheta Signaling in T Lymphocytes,-1.257
Leukocyte Extravasation Signaling,-1.286
Chemokine Signaling,-1.4
IL-3 Signaling,-1.4
FLT3 Signaling in Hematopoietic Progenitor Cells,-1.512
fMLP Signaling in Neutrophils,-1.567
IL-23 Signaling Pathway,-1.604
IGF-1 Signaling,-1.616
Lymphotoxin B Receptor Signaling,-1.807
Phospholipase C Signaling,-1.838
IL-8 Signaling,-2.143
NF-kB Signaling,-2.177
Role of NFAT in Regulation of the Immune Response,-2.197
P2Y Purigenic Receptor Signaling Pathway,-2.287
PI3K Signaling in B Lymphocytes,-2.359
ILK Signaling,-2.61
FGF Signaling,-2.785
STAT3 Pathway,-2.921
Hepatic Fibrosis Signaling Pathway,-3.843
GP6 Signaling Pathway,-4.258
IL-15 Production,-5.729
