Pathway,z.score
B Cell Receptor Signaling,-2.795
CD40 Signaling,-2.324
CXCR4 Signaling,-2.921
Fcy Receptor-mediated Phagocytosis in Macrophages and Monocytes,-3.273
FGF Signaling,-3.578
fMLP Signaling in Neutrophils,-3.922
GP6 Signaling Pathway,-4.226
Hepatic Fibrosis Signaling Pathway,-3.939
iCOS-iCOSL Signaling in T Helper Cells,-3.441
IL-1 Signaling,-2.333
IL-15 Production,-5.488
IL-15 Signaling,-3.5
IL-3 Signaling,-3.153
IL-8 Signaling,-5
IL-9 Signaling,-2.53
ILK Signaling,-3.43
Leukocyte Extravasation Signaling,-3.479
LPS-stimulated MAPK Signaling,-3.153
NF-kB Activation by Viruses,-3.771
NF-kB Signaling,-2.828
P2Y Purigenic Receptor Signaling Pathway,-5.112
PI3K Signaling in B Lymphocytes,-3.53
PPARa/RXRa Activation,0
STAT3 Pathway,-4.025
Tec Kinase Signaling,-3.922
Phospholipase C Signaling,-4.542
IGF-1 Signaling,-3.441
